state,group_id,center_lat,center_lon,radius_m,count,path,label
GA,GA009,30.924322,-83.908096,32908,36,/geo_groups/GA009.csv,GA-009
GA,GA010,30.937698,-83.371104,25242,17,/geo_groups/GA010.csv,GA-010
GA,GA011,30.944366,-84.141784,21814,8,/geo_groups/GA011.csv,GA-011
GA,GA012,31.011520,-84.868715,15284,31,/geo_groups/GA012.csv,GA-012
GA,GA013,31.098385,-82.067845,8833,2,/geo_groups/GA013.csv,GA-013
GA,GA014,31.118101,-81.432618,9934,9,/geo_groups/GA014.csv,GA-014
GA,GA015,31.139466,-81.578071,5425,9,/geo_groups/GA015.csv,GA-015
GA,GA016,31.190370,-84.518120,3000,1,/geo_groups/GA016.csv,GA-016
GA,GA017,31.215020,-83.751670,32941,11,/geo_groups/GA017.csv,GA-017
GA,GA018,31.240538,-81.479701,30532,59,/geo_groups/GA018.csv,GA-018
GA,GA019,31.264547,-82.355732,21666,6,/geo_groups/GA019.csv,GA-019
GA,GA020,31.290099,-81.674821,20899,14,/geo_groups/GA020.csv,GA-020
GA,GA021,31.317144,-84.255751,18309,7,/geo_groups/GA021.csv,GA-021
GA,GA022,31.331432,-82.080331,24799,14,/geo_groups/GA022.csv,GA-022
GA,GA023,31.383995,-84.922975,5893,2,/geo_groups/GA023.csv,GA-023
GA,GA024,31.407119,-83.509756,31769,19,/geo_groups/GA024.csv,GA-024
GA,GA025,31.451128,-82.854510,11596,4,/geo_groups/GA025.csv,GA-025
GA,GA026,31.475220,-83.125170,3000,1,/geo_groups/GA026.csv,GA-026
GA,GA027,31.574163,-84.982583,16974,3,/geo_groups/GA027.csv,GA-027
GA,GA028,31.578305,-83.849544,31661,14,/geo_groups/GA028.csv,GA-028
GA,GA029,31.593990,-82.775545,13060,2,/geo_groups/GA029.csv,GA-029
GA,GA030,31.600610,-81.929080,3000,1,/geo_groups/GA030.csv,GA-030
GA,GA031,31.634779,-84.183927,17540,46,/geo_groups/GA031.csv,GA-031
GA,GA032,31.639808,-83.198471,26420,13,/geo_groups/GA032.csv,GA-032
GA,GA033,31.643458,-83.426170,16678,5,/geo_groups/GA033.csv,GA-033
GA,GA034,31.659818,-81.400311,23297,10,/geo_groups/GA034.csv,GA-034
GA,GA035,31.748803,-81.700621,30629,19,/geo_groups/GA035.csv,GA-035
GA,GA036,31.759090,-84.431310,3000,1,/geo_groups/GA036.csv,GA-036
GA,GA037,31.779220,-85.091830,3000,1,/geo_groups/GA037.csv,GA-037
GA,GA038,31.923850,-83.843750,3000,1,/geo_groups/GA038.csv,GA-038
GA,GA039,31.959750,-81.746670,24217,3,/geo_groups/GA039.csv,GA-039
GA,GA040,31.974585,-83.464485,18213,2,/geo_groups/GA040.csv,GA-040
GA,GA041,32.006328,-80.846381,4664,12,/geo_groups/GA041.csv,GA-041
GA,GA042,32.025785,-82.023720,14627,2,/geo_groups/GA042.csv,GA-042
GA,GA043,32.065141,-84.224131,7175,7,/geo_groups/GA043.csv,GA-043
GA,GA044,32.065516,-81.115360,29162,128,/geo_groups/GA044.csv,GA-044
GA,GA045,32.088115,-81.290590,30956,100,/geo_groups/GA045.csv,GA-045
GA,GA046,32.177310,-83.179520,3000,1,/geo_groups/GA046.csv,GA-046
GA,GA047,32.186949,-82.361529,9507,7,/geo_groups/GA047.csv,GA-047
GA,GA048,32.232071,-82.381816,38126,27,/geo_groups/GA048.csv,GA-048
GA,GA049,32.243478,-81.187735,9808,11,/geo_groups/GA049.csv,GA-049
GA,GA050,32.285021,-84.075756,26751,22,/geo_groups/GA050.csv,GA-050
GA,GA051,32.298092,-81.304516,33630,32,/geo_groups/GA051.csv,GA-051
GA,GA052,32.395435,-81.989290,10541,2,/geo_groups/GA052.csv,GA-052
GA,GA053,32.401060,-81.757164,25747,49,/geo_groups/GA053.csv,GA-053
GA,GA054,32.413297,-83.531591,23653,14,/geo_groups/GA054.csv,GA-054
GA,GA055,32.428783,-83.101572,26888,13,/geo_groups/GA055.csv,GA-055
GA,GA056,32.471230,-83.723690,18528,47,/geo_groups/GA056.csv,GA-056
GA,GA057,32.482274,-84.956428,15242,148,/geo_groups/GA057.csv,GA-057
GA,GA058,32.517674,-82.876929,28257,14,/geo_groups/GA058.csv,GA-058
GA,GA059,32.576082,-82.928787,6275,4,/geo_groups/GA059.csv,GA-059
GA,GA060,32.607305,-82.357255,6849,6,/geo_groups/GA060.csv,GA-060
GA,GA061,32.616157,-83.027060,11428,4,/geo_groups/GA061.csv,GA-061
GA,GA062,32.632993,-84.926881,29914,23,/geo_groups/GA062.csv,GA-062
GA,GA063,32.715833,-84.132423,26683,6,/geo_groups/GA063.csv,GA-063
GA,GA064,32.748960,-81.635974,5204,5,/geo_groups/GA064.csv,GA-064
GA,GA065,32.750407,-83.598695,30512,35,/geo_groups/GA065.csv,GA-065
GA,GA066,32.762437,-83.704981,26467,111,/geo_groups/GA066.csv,GA-066
GA,GA067,32.769130,-85.096210,13739,2,/geo_groups/GA067.csv,GA-067
GA,GA068,32.863630,-84.480445,14747,2,/geo_groups/GA068.csv,GA-068
GA,GA069,32.998399,-83.817122,31712,19,/geo_groups/GA069.csv,GA-069
GA,GA070,33.039139,-83.518150,22443,19,/geo_groups/GA070.csv,GA-070
GA,GA071,33.059781,-83.201635,19475,18,/geo_groups/GA071.csv,GA-071
GA,GA072,33.064996,-84.471902,24228,12,/geo_groups/GA072.csv,GA-072
GA,GA073,33.081178,-84.973755,29310,73,/geo_groups/GA073.csv,GA-073
GA,GA074,33.091560,-85.129457,20508,3,/geo_groups/GA074.csv,GA-074
GA,GA075,33.153118,-84.211865,32055,55,/geo_groups/GA075.csv,GA-075
GA,GA076,33.183075,-82.048875,19451,8,/geo_groups/GA076.csv,GA-076
GA,GA077,33.213955,-82.395770,3102,2,/geo_groups/GA077.csv,GA-077
GA,GA078,33.368170,-82.827980,12137,2,/geo_groups/GA078.csv,GA-078
